"";"winner";"n.moves";"n.rounds";"ahead.1";"ahead.2";"ahead.3";"ahead.4";"ahead.5";"ahead.6";"persistence";"n.players.ahead"
"1";1;139;24;19;0;0;4;0;1;11;3
"2";6;138;24;2;0;4;4;0;14;5;4
"3";3;153;26;2;1;17;0;6;0;15;4
"4";2;158;27;5;16;0;6;0;0;2;3
"5";3;159;27;2;5;18;2;0;0;6;4
"6";5;149;25;2;12;2;4;5;0;2;5
"7";6;144;25;1;0;1;2;5;16;14;5
"8";5;149;25;2;0;11;0;6;6;3;4
"9";1;145;25;18;2;0;0;5;0;5;3
"10";3;165;28;4;0;17;1;0;6;17;4
"11";2;152;26;6;20;0;0;0;0;8;2
"12";4;166;28;1;3;0;15;8;1;10;5
"13";3;159;27;1;8;15;2;0;1;4;5
"14";2;158;27;6;1;6;0;5;9;1;5
"15";4;166;28;1;8;0;6;1;12;6;5
"16";1;145;25;5;0;6;0;8;6;2;4
"17";2;134;23;1;15;5;2;0;0;15;4
"18";3;147;25;1;1;9;14;0;0;4;4
"19";3;123;21;1;0;19;0;1;0;19;3
"20";1;139;24;23;0;0;1;0;0;22;2
"21";1;139;24;18;1;0;0;0;5;14;3
"22";4;154;26;9;13;0;4;0;0;4;3
"23";3;135;23;1;0;22;0;0;0;22;2
"24";1;151;26;17;2;0;0;4;3;2;4
"25";3;165;28;4;1;3;1;8;11;1;6
"26";2;152;26;2;16;0;0;2;6;1;4
"27";3;153;26;1;1;16;0;0;8;8;4
"28";2;164;28;8;10;2;0;2;6;1;5
"29";2;158;27;10;3;14;0;0;0;9;3
"30";2;146;25;2;13;0;0;3;7;11;4
"31";6;168;29;4;12;4;1;1;7;3;6
"32";4;154;26;3;7;0;11;0;5;10;4
"33";6;156;27;2;3;0;0;12;10;1;4
"34";2;152;26;2;17;0;3;4;0;1;4
"35";4;154;26;1;0;1;23;1;0;21;4
"36";5;155;26;2;6;0;5;13;0;7;4
"37";5;137;23;4;0;5;0;14;0;14;3
"38";3;159;27;5;0;3;17;0;2;11;4
"39";6;144;25;1;0;1;0;0;23;23;3
"40";2;134;23;2;21;0;0;0;0;21;2
"41";1;127;22;12;1;1;2;0;6;11;5
"42";1;139;24;13;1;0;0;7;3;12;4
"43";1;151;26;18;1;2;0;0;5;8;4
"44";5;161;27;1;8;7;0;1;10;7;5
"45";1;151;26;16;4;1;5;0;0;10;4
"46";3;153;26;3;0;4;10;9;0;1;4
"47";3;147;25;12;0;8;0;5;0;8;3
"48";1;169;29;2;27;0;0;0;0;1;2
"49";2;128;22;4;17;1;0;0;0;16;3
"50";3;147;25;6;0;12;0;0;7;10;3
"51";2;140;24;1;23;0;0;0;0;23;2
"52";5;155;26;12;1;0;1;11;1;10;5
"53";3;135;23;3;0;5;15;0;0;4;3
"54";3;165;28;2;0;16;9;1;0;2;4
"55";1;151;26;18;6;2;0;0;0;1;3
"56";6;156;27;1;15;7;0;2;2;2;5
"57";1;151;26;14;8;0;0;0;4;2;3
"58";4;148;25;1;0;0;24;0;0;24;2
"59";4;154;26;3;5;0;6;9;3;4;5
"60";3;159;27;11;0;2;1;13;0;1;4
"61";3;153;26;16;0;9;0;1;0;4;3
"62";6;156;27;11;9;1;1;0;5;4;5
"63";6;150;26;25;0;0;0;0;1;1;2
"64";3;165;28;1;6;8;12;0;1;8;5
"65";1;145;25;13;9;2;0;0;1;12;4
"66";5;143;24;1;3;6;0;13;1;13;5
"67";1;139;24;12;11;0;0;1;0;9;3
"68";3;153;26;2;20;3;0;0;1;3;4
"69";2;164;28;3;0;14;9;2;0;13;4
"70";5;149;25;1;4;0;0;20;0;6;3
"71";3;159;27;11;0;8;0;6;2;1;4
"72";4;130;22;4;0;0;13;5;0;13;3
"73";4;154;26;1;2;0;23;0;0;23;3
"74";3;153;26;4;1;15;3;3;0;14;5
"75";2;146;25;1;19;3;0;2;0;14;4
"76";2;152;26;1;10;0;0;2;13;1;4
"77";4;160;27;4;1;8;2;0;12;2;5
"78";2;158;27;2;10;12;0;0;3;3;4
"79";4;124;21;1;0;0;17;0;3;17;3
"80";2;152;26;2;24;0;0;0;0;24;2
"81";5;155;26;1;12;0;0;0;13;9;3
"82";2;170;29;1;0;25;3;0;0;18;3
"83";3;153;26;4;0;2;3;17;0;2;4
"84";1;157;27;4;5;16;0;0;2;3;4
"85";4;160;27;11;0;0;12;4;0;12;3
"86";1;139;24;12;0;0;12;0;0;11;2
"87";5;143;24;1;0;0;0;23;0;23;2
"88";3;153;26;1;3;13;3;0;6;11;5
"89";3;141;24;6;0;17;0;0;1;6;3
"90";5;149;25;1;0;1;0;21;2;11;4
"91";2;140;24;1;19;0;4;0;0;13;3
"92";5;155;26;2;5;1;0;16;2;16;5
"93";3;147;25;1;0;16;2;6;0;8;4
"94";5;161;27;1;5;8;1;8;4;7;6
"95";2;158;27;1;16;0;0;1;9;2;4
"96";4;148;25;3;4;14;4;0;0;3;4
"97";4;136;23;3;10;0;9;0;1;4;4
"98";4;166;28;11;6;2;3;6;0;1;5
"99";3;129;22;1;0;20;1;0;0;18;3
"100";6;156;27;1;0;9;10;1;6;1;5
"101";6;168;29;11;1;3;1;2;11;1;6
"102";1;157;27;9;1;9;3;5;0;2;5
"103";3;165;28;1;10;8;9;0;0;7;4
"104";2;158;27;15;3;6;2;1;0;1;5
"105";2;170;29;1;0;20;6;0;2;4;4
"106";1;139;24;10;2;2;8;2;0;9;5
"107";1;145;25;23;0;0;0;1;1;2;3
"108";6;162;28;3;0;1;0;3;21;2;4
"109";3;171;29;2;6;20;0;1;0;2;4
"110";6;168;29;8;5;0;0;7;9;5;4
"111";5;155;26;1;4;0;10;11;0;3;4
"112";5;143;24;2;0;18;0;1;3;3;4
"113";5;149;25;3;5;0;0;17;0;1;3
"114";5;149;25;1;1;2;0;19;2;8;5
"115";5;155;26;2;1;5;0;17;1;9;5
"116";1;139;24;14;8;1;0;1;0;4;4
"117";3;153;26;1;3;15;5;2;0;15;5
"118";6;150;26;1;3;0;0;12;10;6;4
"119";3;171;29;7;1;15;2;0;4;2;5
"120";4;154;26;12;0;0;12;2;0;1;3
"121";2;158;27;1;13;0;0;0;13;13;3
"122";3;135;23;5;0;13;0;5;0;13;3
"123";3;153;26;8;0;16;0;0;2;13;3
"124";1;139;24;22;0;2;0;0;0;20;2
"125";2;146;25;1;17;2;0;2;3;16;5
"126";4;166;28;7;4;7;6;2;2;4;6
"127";5;161;27;11;0;0;3;9;4;8;4
"128";2;140;24;1;17;2;0;0;4;17;4
"129";4;154;26;1;14;1;6;0;4;2;5
"130";1;151;26;18;6;0;2;0;0;17;3
"131";1;169;29;20;0;1;0;8;0;6;3
"132";3;159;27;1;0;10;0;0;16;1;3
"133";5;149;25;4;2;0;1;15;3;10;5
"134";4;142;24;1;0;2;21;0;0;21;3
"135";3;165;28;1;1;5;8;12;1;1;6
"136";4;136;23;1;1;0;20;1;0;10;4
"137";1;151;26;12;1;11;0;2;0;1;4
"138";6;150;26;2;0;0;3;1;20;11;4
"139";1;151;26;22;0;0;0;4;0;7;2
"140";1;139;24;16;0;0;1;0;7;8;3
"141";2;158;27;3;4;1;19;0;0;13;4
"142";3;153;26;1;6;1;3;13;2;1;6
"143";6;168;29;1;0;3;1;4;20;4;5
"144";2;146;25;1;19;5;0;0;0;14;3
"145";1;169;29;20;7;0;0;2;0;1;3
"146";2;140;24;2;5;0;0;4;13;5;4
"147";2;152;26;2;24;0;0;0;0;24;2
"148";4;160;27;9;1;0;17;0;0;13;3
"149";4;148;25;1;1;1;13;0;9;10;5
"150";2;158;27;2;22;0;3;0;0;22;3
"151";4;160;27;2;13;4;4;4;0;4;5
"152";2;158;27;1;0;0;26;0;0;26;2
"153";4;130;22;1;0;0;21;0;0;21;2
"154";2;128;22;4;18;0;0;0;0;15;2
"155";4;148;25;2;0;0;21;0;2;2;3
"156";2;164;28;2;9;0;8;0;9;6;4
"157";4;154;26;6;0;4;6;10;0;10;4
"158";1;151;26;17;4;5;0;0;0;9;3
"159";1;175;30;2;0;2;3;2;21;2;5
"160";4;160;27;1;3;15;8;0;0;5;4
"161";5;161;27;4;0;0;6;17;0;2;3
"162";2;158;27;7;9;2;9;0;0;6;4
"163";3;153;26;1;10;14;1;0;0;1;4
"164";5;149;25;3;0;1;2;19;0;17;4
"165";5;155;26;1;4;0;2;19;0;19;4
"166";6;132;23;1;0;0;11;0;11;11;3
"167";6;156;27;1;3;0;0;5;18;9;4
"168";6;156;27;11;0;0;0;0;16;11;2
"169";1;163;28;15;1;0;0;0;12;6;3
"170";1;139;24;24;0;0;0;0;0;24;1
"171";6;168;29;2;0;1;0;0;26;21;3
"172";5;143;24;1;0;0;22;1;0;1;3
"173";3;153;26;7;0;19;0;0;0;2;2
"174";2;140;24;3;17;0;0;0;4;5;3
"175";1;133;23;15;4;0;3;1;0;14;4
"176";2;146;25;1;17;1;0;1;5;1;5
"177";4;148;25;3;0;17;5;0;0;3;3
"178";4;142;24;1;0;11;12;0;0;12;3
"179";6;150;26;3;0;1;0;0;22;3;3
"180";6;156;27;5;4;0;1;0;17;12;4
"181";3;147;25;1;0;18;0;0;6;5;3
"182";6;156;27;1;9;1;8;0;8;8;5
"183";6;162;28;1;1;0;0;3;23;23;4
"184";2;146;25;3;12;6;0;0;4;5;4
"185";1;151;26;22;0;0;2;0;2;17;3
"186";1;157;27;2;24;0;0;1;0;1;3
"187";2;152;26;1;17;1;0;0;7;6;4
"188";5;161;27;2;0;3;0;22;0;8;3
"189";1;145;25;15;1;9;0;0;0;5;3
"190";6;156;27;1;4;4;3;5;10;3;6
"191";2;152;26;20;1;5;0;0;0;10;3
"192";5;161;27;1;1;15;0;10;0;7;4
"193";1;157;27;25;1;1;0;0;0;13;3
"194";6;162;28;3;7;0;0;3;15;12;4
"195";2;158;27;15;8;0;0;0;4;1;3
"196";4;154;26;1;0;1;15;7;2;7;5
"197";3;135;23;2;0;20;0;1;0;20;3
"198";2;140;24;1;20;0;1;0;2;18;4
"199";4;160;27;2;1;0;11;12;1;2;5
"200";3;129;22;1;0;15;0;0;6;15;3
"201";5;155;26;10;0;0;0;16;0;13;2
"202";1;157;27;27;0;0;0;0;0;27;1
"203";3;153;26;1;1;7;11;1;5;2;6
"204";3;153;26;4;0;20;1;1;0;15;4
"205";4;142;24;6;0;10;1;7;0;5;4
"206";5;161;27;14;0;3;0;9;1;3;4
"207";4;160;27;16;0;0;11;0;0;4;2
"208";2;158;27;1;12;7;3;0;4;1;5
"209";1;169;29;1;5;0;2;21;0;2;4
"210";1;151;26;7;16;0;3;0;0;1;3
"211";4;142;24;1;0;0;12;11;0;9;3
"212";1;145;25;22;3;0;0;0;0;20;2
"213";1;151;26;22;2;0;0;2;0;17;3
"214";6;138;24;4;0;0;0;0;20;18;2
"215";1;145;25;25;0;0;0;0;0;25;1
"216";6;156;27;1;0;2;4;6;14;2;5
"217";4;154;26;1;1;4;9;11;0;8;5
"218";3;165;28;1;17;0;2;8;0;3;4
"219";3;153;26;1;0;15;9;0;1;15;4
"220";3;153;26;1;0;16;0;9;0;14;3
"221";3;159;27;2;0;17;2;0;6;1;4
"222";2;134;23;9;8;0;5;0;1;8;4
"223";4;160;27;4;0;0;22;0;1;1;3
"224";6;156;27;1;2;0;0;0;24;24;3
"225";3;153;26;2;0;17;0;0;7;16;3
"226";2;158;27;1;20;0;5;1;0;9;4
"227";1;157;27;11;4;0;1;0;11;10;4
"228";1;157;27;5;13;5;4;0;0;4;4
"229";1;163;28;24;0;0;4;0;0;20;2
"230";1;145;25;13;0;12;0;0;0;12;2
"231";2;152;26;6;13;1;0;0;6;5;4
"232";1;151;26;5;0;12;1;8;0;1;4
"233";2;152;26;1;18;0;2;2;3;17;5
