"";"winner";"n.moves";"n.rounds";"ahead.1";"ahead.2";"ahead.3";"persistence";"n.players.ahead"
"1";2;29;10;1;9;0;9;2
"2";1;427;143;33;40;70;2;3
"3";1;193;65;28;23;14;9;3
"4";3;246;83;36;26;21;8;3
"5";3;147;50;14;12;24;10;3
"6";3;120;41;14;12;15;5;3
"7";3;117;40;7;13;20;3;3
"8";1;64;22;16;0;6;7;2
"9";1;43;15;6;4;5;4;3
"10";2;62;21;1;15;5;1;3
"11";3;222;75;36;19;20;8;3
"12";1;121;41;20;9;12;3;3
"13";1;58;20;13;1;6;4;3
"14";2;242;81;15;41;25;8;3
"15";1;40;14;4;4;6;1;3
"16";2;161;54;13;28;13;8;3
"17";1;271;91;39;20;32;3;3
"18";1;70;24;8;2;14;3;3
"19";2;71;24;1;18;5;5;3
"20";1;109;37;15;9;13;5;3
"21";1;136;46;12;15;19;6;3
"22";2;89;30;12;9;9;7;3
"23";2;47;16;3;7;6;3;3
"24";3;129;44;20;4;20;8;3
"25";2;80;27;10;6;11;1;3
"26";3;81;28;7;0;21;10;2
"27";1;103;35;11;14;10;2;3
"28";1;94;32;11;11;10;9;3
"29";3;42;15;1;5;9;5;3
"30";2;185;62;20;32;10;2;3
"31";1;31;11;11;0;0;11;1
"32";1;94;32;22;9;1;2;3
"33";3;87;30;12;5;13;6;3
"34";3;69;24;11;7;6;6;3
"35";1;19;7;7;0;0;7;1
"36";3;36;13;3;5;5;2;3
"37";1;154;52;33;18;1;11;3
"38";1;103;35;26;8;1;12;3
"39";3;39;14;6;3;5;5;3
"40";3;216;73;24;20;29;8;3
"41";3;51;18;8;4;6;1;3
"42";3;105;36;6;17;13;5;3
"43";2;44;15;5;10;0;2;2
"44";2;65;22;13;7;2;6;3
"45";1;418;140;46;26;68;1;3
"46";2;80;27;6;17;4;5;3
"47";3;42;15;4;2;9;8;3
"48";2;257;86;28;25;33;9;3
"49";1;100;34;11;17;6;3;3
"50";3;102;35;8;7;20;10;3
"51";3;129;44;7;23;14;11;3
"52";3;168;57;26;13;18;4;3
"53";1;160;54;25;9;20;8;3
"54";3;33;12;3;1;8;4;3
"55";2;47;16;3;7;6;5;3
"56";3;78;27;2;11;14;10;3
"57";2;47;16;6;2;8;2;3
"58";3;246;83;26;29;28;9;3
"59";1;109;37;17;16;4;1;3
"60";3;51;18;2;0;16;11;2
"61";2;38;13;5;7;1;7;3
"62";3;93;32;13;4;15;9;3
"63";3;51;18;1;1;16;16;3
"64";2;65;22;7;15;0;11;2
"65";1;82;28;21;1;6;15;3
"66";1;58;20;6;4;10;1;3
"67";1;88;30;6;7;17;3;3
"68";3;51;18;7;1;10;6;3
"69";3;354;119;49;51;19;2;3
"70";1;58;20;9;2;9;8;3
"71";2;35;12;5;3;4;3;3
"72";3;201;68;36;19;13;4;3
"73";3;93;32;2;17;13;7;3
"74";3;33;12;3;5;4;3;3
"75";1;268;90;40;25;25;5;3
"76";2;197;66;19;26;21;9;3
"77";2;47;16;13;3;0;3;2
"78";1;145;49;24;5;20;9;3
"79";2;134;45;15;25;5;10;3
"80";1;112;38;18;9;11;7;3
"81";3;135;46;9;28;9;2;3
"82";3;57;20;3;4;13;1;3
"83";3;219;74;20;15;39;4;3
"84";3;48;17;5;5;7;7;3
"85";2;35;12;1;11;0;11;2
"86";1;226;76;23;34;19;11;3
"87";3;132;45;9;12;24;6;3
"88";1;127;43;17;13;13;4;3
"89";3;27;10;1;2;7;4;3
"90";2;110;37;9;15;13;11;3
"91";3;237;80;27;17;36;4;3
"92";2;56;19;10;8;1;7;3
"93";1;58;20;15;4;1;9;3
"94";3;72;25;6;11;8;6;3
"95";3;36;13;7;3;3;3;3
"96";3;87;30;4;8;18;12;3
"97";3;39;14;2;3;9;5;3
"98";1;112;38;9;11;18;1;3
