game;n.players;int.rule;end.rule;winner1.perc;winner2.perc;winner3.perc;winner4.perc;winner5.perc;winner6.perc;moves.mean;moves.sd;moves.min;moves.25%;moves.median;moves.75%;moves.max;rounds.mean;rounds.sd;rounds.min;rounds.25%;rounds.median;rounds.75%;rounds.max;ahead1.mean.perc;ahead1.sd.perc;ahead1.min.perc;ahead1.25%.perc;ahead1.median.perc;ahead1.75%.perc;ahead1.max.perc;ahead2.mean.perc;ahead2.sd.perc;ahead2.min.perc;ahead2.25%.perc;ahead2.median.perc;ahead2.75%.perc;ahead2.max.perc;ahead3.mean.perc;ahead3.sd.perc;ahead3.min.perc;ahead3.25%.perc;ahead3.median.perc;ahead3.75%.perc;ahead3.max.perc;ahead4.mean.perc;ahead4.sd.perc;ahead4.min.perc;ahead4.25%.perc;ahead4.median.perc;ahead4.75%.perc;ahead4.max.perc;ahead5.mean.perc;ahead5.sd.perc;ahead5.min.perc;ahead5.25%.perc;ahead5.median.perc;ahead5.75%.perc;ahead5.max.perc;ahead6.mean.perc;ahead6.sd.perc;ahead6.min.perc;ahead6.25%.perc;ahead6.median.perc;ahead6.75%.perc;ahead6.max.perc;persistence.mean.perc;persistence.sd.perc;persistence.min.perc;persistence.25%.perc;persistence.median.perc;persistence.75%.perc;persistence.max.perc;persistence.1rounds;persistence.2rounds;persistence.3rounds;persistence.4rounds;persistence.5rounds;persistence.6rounds;persistence.7rounds;persistence.8rounds;persistence.9rounds;persistence.10rounds;persistence.11rounds;persistence.12rounds;persistence.13rounds;persistence.14rounds;persistence.15rounds;persistence.16rounds;persistence.17rounds;persistence.18rounds;persistence.19rounds;persistence.20rounds;1.players.ahead;2.players.ahead;3.players.ahead;4.players.ahead;5.players.ahead;6.players.ahead;not.random;lognorm.mean;lognorm.sd;lognorm.logLik;lognorm.AIC
abstract;3;none;goose;0,36812;0,33134;0,30054;NA;NA;NA;85,76334;8,453503491;59;80;85;91;146;29,24418;2,83777328;20;27;29;31;49;0,385826987;0,314470711;0,026315789;0,1;0,296296296;0,655172414;1;0,316762753;0,30636972;0;0,035714286;0,214285714;0,562900641;0,971428571;0,29741026;0,300446899;0;0,034482759;0,185185185;0,533333333;0,96969697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,291430646;0,32986642;0,020408163;0,033333333;0,076923077;0,538461538;1;19845;5278;2051;1300;1087;1009;927;877;858;815;845;791;751;788;751;806;821;822;815;814;1390;16417;32193;NA;NA;NA;1;3,371073389;0,095613413;-122128,4877;244260,9755
ayres;3;none;goose;0,34104;0,32982;0,32914;NA;NA;NA;67,01454;46,63563387;16;31;55;86;521;23,00462;15,54911426;6;11;19;29;174;0,388749296;0,231660695;0,021276596;0,2;0,363636364;0,540135135;1;0,307443295;0,226563298;0;0,125;0,288888889;0,454545455;0,966666667;0,303807409;0,228739939;0;0,111111111;0,285714286;0,454545455;0,96969697;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,305186516;0,242735892;0,007874016;0,111111111;0,25;0,428571429;1;6849;6731;7169;5909;4479;3504;2936;2450;2091;1688;1388;1086;881;634;559;419;337;290;198;148;1053;12857;36090;NA;NA;NA;1;2,946606656;0,603275009;-193008,1535;386020,3071
tantra;3;none;goose;0,34396;0,33418;0,32186;NA;NA;NA;58,92618;22,74445684;19;42;56;71;236;20,30462;7,587670137;7;15;19;24;79;0,389609895;0,282993097;0,018867925;0,142857143;0,307692308;0,612903226;1;0,309365302;0,278559202;0;0,068965517;0,222222222;0,53125;0,971428571;0,301024803;0,27985086;0;0,057142857;0,210526316;0,529411765;0,973684211;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,449913542;0,28834299;0,012820513;0,166666667;0,470588235;0,684210526;1;8811;2736;1029;1255;2487;3498;4038;3886;3481;3079;2762;2273;1892;1694;1393;1235;1016;756;629;489;1298;14976;33726;NA;NA;NA;1;2,943950691;0,366960727;-168019,4389;336042,8778
althoen;3;none;goose;0,34074;0,3306;0,32866;NA;NA;NA;67,14318;33,01241154;19;44;60;82;445;23,04708;11,01075875;7;15;21;28;149;0,378943488;0,259604502;0,015384615;0,153846154;0,333333333;0,555555556;1;0,310898096;0,255222452;0;0,090909091;0,27027027;0,482758621;0,976190476;0,310158416;0,257534414;0;0,083333333;0,268292683;0,5;0,971428571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,3137989;0,279668976;0,01010101;0,074074074;0,222222222;0,473684211;1;11643;4759;3603;4366;4533;3548;2551;2184;1962;1764;1578;1438;1252;925;894;655;517;425;324;268;1292;13507;35201;NA;NA;NA;1;3,03798714;0,440927715;-181902,5672;363809,1344
daykin;3;none;goose;0,33796;0,33408;0,32796;NA;NA;NA;107,38168;79,57625078;16;52;84;139;922;36,45852;26,52633696;6;18;29;47;308;0,373440392;0,198364024;0,018867925;0,230769231;0,350877193;0,484848485;1;0,314590942;0,193687017;0;0,176470588;0,3;0,431818182;0,96;0,311968665;0,196391249;0;0,173076923;0,3;0,428571429;0,964285714;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,235003365;0,2140621;0,004347826;0,080645161;0,166666667;0,314285714;1;4690;5178;5958;6210;5887;5006;4198;3270;2526;1980;1434;1024;760;513;380;298;195;155;87;77;468;6742;42790;NA;NA;NA;0,98;3,374638031;0,661569706;-219021,8319;438047,6639
historical72;3;none;goose;0,3479;0,3323;0,3198;NA;NA;NA;44,77968;24,72931802;13;28;38;55;273;15,58906;8,250570268;5;10;13;19;92;0,415274573;0,229265856;0,023809524;0,230769231;0,384615385;0,571428571;1;0,301067135;0,219754615;0;0,125;0,275862069;0,444444444;0,954545455;0,283658292;0,21984003;0;0,1;0,25;0,428571429;0,971428571;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,29878154;0,237647036;0,011235955;0,111111111;0,230769231;0,428571429;1;11099;9026;8001;6090;4582;3387;2360;1729;1165;858;523;365;287;168;130;62;58;45;22;13;1076;12256;36668;NA;NA;NA;1;2,631680127;0,467081795;-164468,3887;328940,7774
historical84;3;none;goose;0,34156;0,33582;0,32262;NA;NA;NA;45,27196;24,55826826;7;32;42;58;238;15,75292;8,194918829;3;11;15;20;80;0,41485321;0,264086352;0,015625;0,19047619;0,366666667;0,612903226;1;0,293693577;0,253417757;0;0,071428571;0,25;0,466666667;0,966666667;0,291453212;0,254436658;0;0,066666667;0,25;0,47826087;0,970588235;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,353273106;0,275767948;0,014492754;0,117647059;0,275862069;0,518888889;1;14302;7816;4723;3188;2690;2476;2179;2144;1953;1697;1537;1279;901;697;534;407;353;266;201;144;1647;16327;32026;NA;NA;NA;1;2,593695898;0,625510326;-177172,3496;354348,6991
abstract;4;none;goose;0,28244;0,25748;0,24012;0,21996;NA;NA;111,19712;9,829443324;79;105;111;117;186;28,41984;2,47583864;20;27;28;30;47;0,305310369;0,289628101;0,025641026;0,066666667;0,185185185;0,5;1;0,246816916;0,279624125;0;0;0,125;0,423076923;0,96969697;0,2307387;0,272853173;0;0;0,107142857;0,391304348;0,967741935;0,217134015;0,266369673;0;0;0,088235294;0,361111111;0,96875;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,258571217;0,302815696;0,022222222;0,034482759;0,071428571;0,44;1;21136;5117;2105;1566;1258;1210;1009;1008;973;891;941;820;870;826;816;806;762;761;770;790;754;8670;23368;17208;NA;NA;1;3,343340072;0,086402834;-115677,1902;231358,3804
ayres;4;none;goose;0,25696;0,2555;0,24806;0,23948;NA;NA;73,92766;47,6355973;21;38;61;94;629;19,10388;11,91118493;6;10;16;24;158;0,318830602;0,220890258;0,015625;0,125;0,272727273;0,454545455;1;0,234911077;0,214714311;0;0,04;0,2;0,375;0,962962963;0,223079006;0,210262141;0;0;0,181818182;0,357142857;0,961538462;0,223179316;0,212905612;0;0;0,181818182;0,363636364;0,962962963;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,283241837;0,219986111;0,006329114;0,107142857;0,230769231;0,4;1;9526;8274;7868;6206;4343;3150;2433;1898;1562;1286;881;711;531;389;282;216;137;113;70;45;568;8167;20362;20903;NA;NA;1;2,791841248;0,546417976;-180320,4354;360644,8709
tantra;4;none;goose;0,26336;0,25462;0,24724;0,23478;NA;NA;70,94272;25,22658531;25;51;68;86;265;18,3571;6,313212869;7;13;18;22;67;0,317477093;0,262978985;0,022222222;0,1;0,222222222;0,473684211;1;0,239157247;0,258302546;0;0;0,136363636;0,4;0,972222222;0,223787987;0,254589666;0;0;0,111111111;0,375;0,967741935;0,219577673;0,256304219;0;0;0,101282051;0,375;0,970588235;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,41918242;0,281976894;0,016393443;0,1;0,444444444;0,65;1;10638;3304;1364;1588;2952;4064;4378;4248;3454;2938;2380;2041;1560;1264;945;773;588;413;348;213;741;8827;22867;17565;NA;NA;1;2,852887941;0,338858479;-159482,6874;318969,3747
